id,target_burst_rate,target_leakage_rate,target_supply_int,    optimal_cost_gbp,heuristic_cost_gbp,cost_difference_gbp,heuristic_cost_excess_%,    n_optimal_pipes,n_pipes_heuristic,correct_pipes_selected,pipe_accuracy,Xpress_time_sec,    heuristics_time_sec,n_constraints
br10_lr10000_si10,10,10000,10,9186326.615712997,9306128.193858663,119801.57814566605,1.304129312588867,126,125,122,0.9682539682539683,3.0849999999999946,2.014333,3
br10_lr10000_si50,10,10000,50,5591254.9288759995,5631695.550450434,40440.62157443445,0.7232834504751183,144,144,142,0.9861111111111112,1.9430000000000034,2.537549,3
br10_lr25000_si50,10,25000,50,5591254.9288759995,5631695.550450434,40440.62157443445,0.7232834504751183,144,144,142,0.9861111111111112,1.818000000000005,2.22691,3
br10_lr28000_si10,10,28000,10,9186326.615712997,9306128.193858663,119801.57814566605,1.304129312588867,126,125,122,0.9682539682539683,2.4079999999999973,2.159449,3
br20_lr15000_si20,20,15000,20,4114081.3466529995,4422224.467325967,308143.1206729673,7.489961785117748,34,36,33,0.9705882352941176,2.04,0.943987,3
br25_lr25000_si15,25,25000,15,5819042.940222998,5943220.691850683,124177.75162768457,2.1339892642711074,50,52,50,1.0,2.057999999999997,1.134942,3
br25_lr30000_si60,25,30000,60,968083.5258499999,1055521.0898858628,87437.56403586292,9.032026855233457,14,18,14,1.0,8.33,0.726765,3
br28_lr10000_si50,28,10000,50,3391623.084672,3406964.342241956,15341.257569956128,0.45232790280526597,90,90,88,0.9777777777777777,1.8530000000000002,1.660365,3
br28_lr25000_si10,28,25000,10,8898009.862642,9135813.74198932,237803.87934732065,2.6725513122404188,92,95,92,1.0,4.156999999999997,1.783153,3
br30_lr10000_si10,30,10000,10,8898009.862642,9167765.495009305,269755.63236730546,3.031640069313314,92,100,92,1.0,4.593999999999995,2.012625,3
br30_lr29000_si92,30,29000,92,315783.223858,458339.42594695895,142556.20208895893,45.143690772206114,13,14,12,0.9230769230769231,4.5360000000000005,0.634301,2
br30_lr45000_si50,30,45000,50,994478.4058059999,1018216.2379067786,23737.8321007787,2.3869630514037943,10,8,6,0.6,8.346000000000002,0.657246,2
br35_lr15000_si60,35,15000,60,1605420.2416550003,1605674.7213135052,254.47965850494802,0.015851280051297302,36,36,35,0.9722222222222222,4.607,0.957729,3
br35_lr30000_si60,35,30000,60,631673.34343,705040.8560208437,73367.51259084372,11.61478687583309,4,5,3,0.75,3.887,0.56468,3
br40_lr10000_si60,40,10000,60,3391623.084672,3406964.342241956,15341.257569956128,0.45232790280526597,90,90,88,0.9777777777777777,2.4269999999999987,1.620955,3
br45_lr10000_si55,45,10000,55,3391623.084672,3406964.342241956,15341.257569956128,0.45232790280526597,90,90,88,0.9777777777777777,2.5,1.975302,2
br45_lr45000_si29,45,45000,29,2453531.512678,2519639.1176218577,66107.60494385753,2.6943858109122827,21,21,20,0.9523809523809523,3.4029999999999996,0.72061,1
br45_lr30000_si98,45,30000,98,37151.535198,38047.42916692774,895.8939689277395,2.411458810929484,2,1,0,0.0,1.924,0.482332,1
br35_lr48000_si98,35,48000,98,90138.930418,122484.3402321004,32345.409814100392,35.88395121187424,3,4,3,1.0,5.158,0.514254,1
br25_lr48000_si98,25,48000,98,869205.783883,871373.1891758963,2167.405292896321,0.24935467907425546,26,27,26,1.0,10.379999999999997,1.053584,1
br20_lr48000_si98,20,48000,98,1685371.5163070003,1688824.0465778117,3452.530270811403,0.2048527720687137,34,34,33,0.9705882352941176,1.985999999999999,1.048222,1
br15_lr48000_si98,15,48000,98,2957113.0126140006,2958950.3887012927,1837.3760872920975,0.06213411795404841,69,69,68,0.9855072463768116,2.3300000000000014,1.407941,1
br10_lr48000_si98,10,48000,98,5591254.9288759995,5631695.550450434,40440.62157443445,0.7232834504751183,144,144,142,0.9861111111111112,2.817000000000006,2.55107,1
br45_lr25000_si98,45,25000,98,117678.21484,117678.21484377075,3.770750481635332e-06,3.2042893298153737e-09,3,3,3,1.0,1.735,0.515785,1
br45_lr20000_si98,45,20000,98,557073.429062,557073.4290861707,2.417073119431734e-05,4.338877055223404e-09,14,14,14,1.0,1.8659999999999999,0.697424,1
br45_lr15000_si98,45,15000,98,1605420.2416550003,1605674.721313505,254.4796585047152,0.0158512800512828,36,36,35,0.9722222222222222,1.6599999999999984,0.875928,1
br45_lr10000_si98,45,10000,98,3391623.084672,3406964.342241956,15341.257569956128,0.45232790280526597,90,90,88,0.9777777777777777,1.7669999999999981,1.61218,1
br45_lr45000_si45,45,45000,45,1172273.8644899998,1322214.7579531576,149940.89346315782,12.790602776799934,8,10,8,1.0,1.776,0.606806,1
br45_lr45000_si40,45,45000,40,1435451.642388,1473407.592327279,37955.94993927912,2.6441817208231453,12,11,10,0.8333333333333334,1.9690000000000003,0.682007,1
br45_lr45000_si30,45,45000,30,2331158.13786,2440408.0069555445,109249.86909554433,4.686506132777228,17,20,17,1.0,1.782,0.751719,1
br45_lr45000_si20,45,45000,20,4114081.3466529995,4413514.299850777,299432.9531977773,7.278245809149597,34,35,33,0.9705882352941176,1.808999999999999,1.048589,1
br45_lr20000_si18,45,20000,18,4663027.812214999,4668454.667718213,5426.855503213592,0.11638050901171366,40,39,38,0.95,2.1260000000000003,1.172419,2
br45_lr18000_si50,45,18000,50,1129818.1814,1159704.4924367173,29886.31103671738,2.645231907994624,13,15,10,0.7692307692307693,2.102,0.726057,2
br23_lr17000_si98,23,17000,98,1194507.9005500001,1521964.6910512133,327456.79050121317,27.41353073934787,27,31,26,0.9629629629629629,1.8239999999999998,0.920313,2
br15_lr30000_si98,15,30000,98,2957113.0126140006,2958950.3887012927,1837.3760872920975,0.06213411795404841,69,69,68,0.9855072463768116,1.9489999999999994,1.374984,2
br25_lr45000_si34,25,45000,34,1838800.360658,1850976.8040031048,12176.44334510481,0.6621949617601536,16,16,15,0.9375,1.7549999999999992,0.732023,2
br15_lr45000_si45,15,45000,45,2957113.0126140006,2958950.388701293,1837.3760872925632,0.06213411795406416,69,69,68,0.9855072463768116,2.022000000000001,1.514432,2
